,0
61,I had lunch with my son after visiting the University of Illinois.  He had smoked sausage and I had the burnt ends.  Both entree's were very good.  The side of succotash was an interesting addition to the meal.  The interior was interesting and there was...More
62,"We went for dinner on a Saturday night at 6:30pm so it was obviously super busy, but the wait was shorter than what they told us when we arrived. ~30 minutes! Our server was great and knew the menu well. We ordered two appetizers and...More"
63,"Got the 2 meat platter....brisket, pulled pork, horseradish slaw, sweet potato fries and 2 sauces.  The meats we're perfectly smoked and tender.  The fries were delicious and a huge portion.   The highlight was the slaw.  The horseradish was perfectly portioned, not too hot but definitely...More"
64,"All meats are good.  However, the burned end is the best.  Go early, because it runs out pretty quickly."
65,Went with a co-worker and got dinner. My first time and won't be my last. Here they had amazing brisket Sandwich with side of twice baked potato casserole. Both were awesome. Very tasty tender brisket. Staff was very kind and welcoming. Definitely worth the trip!!!
66,Disappointing visit to Black Dog.  My pulled pork was burned and very dry. Waiter brought me a Dr. Pepper instead of a Diet Pepsi and then insisted that it was Diet Pepsi. Did not offer to bring me a fresh drink--it was Dr. Pepper.  I...More
67,"I really wanted to try the burnt ends , but they were out. Everything was great. The building is somewhat hidden and so is the parking area."
68,"You'll almost never be able to walk in and be seated immediately due to the venue's small size.  But the menu is worth the wait.  While the smoked meats deservedly get top billing, the sides are equally fantastic.  The cornbread with meat morsels is outstanding!...More"
69,"Great food, not expensive with great service.  The downtown location in Champaign is larger so there is usually less of a wait.  The site in Urbana is fairly small and there is usually a wait to be seated."
70,"If you what BBQ ..... This is the place!!  Not only do you get a perfectly smoked piece of meat, but the sides are to die for."
71,Delicious barbecue with just the right touch of smokey flavor. Huge portions at reasonable prices considering there is enough left over for your next day's lunch. Nice neighborhood feel and friendly staff make this a great place for a casual meal in downtown Urbana.
72,"I've been a few times since this location opened with both family and friends. The food is wonderful, I especially like the pulled pork and Texas caviar, but I'm told the burnt ends are amazing. Since the food is so good, they do run out...More"
73,We came for a Basketball game and stopped here hoping to get a quick meal before the start.....we were very lucky that staff were efficient so that we got seated with only about a 20 minute wait . Beer options were nice and I personally...More
74,"There are 2 locations, we visited the one closest to the campus.  I love bbq and this was one of the best I’ve had.  There were 4 of us and we all tried different things, yet no one had a single complaint.  There is a...More"
75,"Get there early and order the burnt ends.  They are simply amazing!  But when they are gone they're gone! Also love the twice baked potato casserole and they have wonderful sweet potato fries.

Absolutely delicious food and great staff!"
76,The restaurant has excellent bbq type food. The restaurant is usually very crowded but the staff handle the crowd extremely well.
77,"Stopped on our way out of town but really wish we hadn’t. Started with the burnt end appetizer.  KC burnt ends are chunky cubes of heavenly, smokey goodness. Black Dog burnt ends are just slices of meat and they were extremely fatty. 

Hoping that was...More"
78,"To beat the crowds, came here in the early evening, and the four of us tried a variety of barbecue and delicious sides.  The burnt ends and brisket were moist and tender, with a great bark and prominent smoke ring.  The ribs were just the...More"
79,"Their brisket and burnt ends combo platter is always a winner! We arrived just before 5pm and they had told us burnt ends would be available in 15 minutes. Love the casual atmosphere! A good place to get local beer, too. Ask for the day’s...More"
80,"We got take out since the restaurant was packed (it was also Illini game day) but I had the rib tips and they were great.  The crust on the meat is delicious on its own, then they give you optional sauces.  Some are regular, some...More"
81,We have been going to this location of Black Dog for years. Generally the food is good but this visit was disappointing. We both ordered from the “special” menu. I had a shrimp poor boy which tasted good what there was of it. When I...More
82,"I was looking to try something new for lunch while in Urbana.  This place popped up on my web search.  Wow!! It was great!  I got the lunch special, 3 tacos.  Plus some sweet potato fries.  Excellent!  Good selection of local draft beers, too,"
83,"Fun atmosphere and great service, very tender meat, we had little kids and they were accommodating to our needs"
84,The new restaurant in downtown Champaign is way cool.  Very nice atmosphere to complement some of the best bbq in town.  Wait time isn't all that bad if you avoid obvious bad times.
85,We fully enjoyed our BBQ dinner at Black Dog Smoke and Ale House.  They've got a good diverse menu of BBQ food. The ribs were delicious along with the beans and macaroni and cheese. They also have a wide array of barbecue sauces so it...More
86,Good foodWaited 50 minutes but it was a football weekend  the brisket was good the burnt ends were gone-nice selection of craft beers
87,"Out on business and looking for something special.  Hotel recommended this gem!  Helpful waitstaff helped me with the menu ( both beer and ribs).  Enjoyed the daily special of beef ribs and local brew.  Order came promptly, and wow!  Didn't need the sauce, as the...More"
88,"Tucked away in Urbana is probably the best smoked lunch I've had.  We ordered chicken, ribs, and salmon -all smoked. Served on metal trays with your choice of sides. BBQ sauces were excellent, too. Enjoy!"
89,"We just enjoyed a quick family lunch with daughter's family, following a recommendation from our hotel. The blackened ends sandwich with one of the hot barbecue sauces rivaled barbecue we've enjoyed in Nashville. Sweet potato fries was our side of choice and were spot on...More"
90,"Visited this place twice in the last two months for lunch!
Both the times we ordered different dishes,  We had company with us both the time.
We all enjoyed the food very much."
91,This is a friendly casual place for some surprisingly good barbecue. We had the burnt ends and pork ribs which were smoked to perfection. They come without sauce but you get a choice of sauces served on the side. My personal preference is to have...More
92,"I graduated from the University of Illinois in Urbana-Champaign in 1962, then lived and worked there for four years, then returned annually to cover events as a sportswriter for newspapers in St. Louis and Chicago and to attend meetings as a member of my fraternity's...More"
93,"Had the smoked salmon sandwich - AWESOME. Food served promptly.  

Sit at the bar - front row seat to watch the cook. He OWNS  that kitchen."
94,"I love this place.  I know there's two of them, but Urbana has been the place to go for ease of seating.  Don't get me wrong.  The place gets packed at peak hours (spent 1.5 hours in line during the U of I Parents Day)....More"
95,"After reading the amazing reviews, my boyfriend and I were looking forward to picking up our food, taking it back to our hotel room, and enjoying some REAL smoked barbecue.  Reviews can be very deceiving.  
We had the cornbread appetizer, ""smoked"" bbq salmon, pulled pork,...More"
96,"The location is very easy to find.  We went around 6 at night on a Tuesday and had a minimal wait for a table for two.  The restaurant has a fun atmosphere, being the old train station.  I had the brisket sandwich and my companion...More"
97,"Have eaten here a couple of times and think they have great food. Only been during the day and early evening, and during those times the noise level is decent, can carry on a conversation easily. Casual atmosphere, friendly staff, great food."
98,We took a ride from Indiana to check out this well reviewed barbeque place to find it was a little freestanding building that we drove past and had to turn around.  I have to say in positive note: our waitress was fantastic. She hooked us...More
99,"I was in town for business and was told to visit Black Dog for food BBQ. It was definitely good eats!!  The pulled pork was dry, but the brisket was delicious!!  They had a variety of different sauces you can order from mild to ghost...More"
100,"My husband and I tried two sandwiches barbecued pork and fish. We can't affirm the hype, food was OK."
101,"I've been to black dog a few times now, each time I take someone different so they can try it. The food never disappoints, the smell of the place instantly makes you hungry!"
102,"Heard about the Black Dog from one of those places to eat websites.   Exceeded our expectations.   We had a bout a 10 minute wait, be sure to put your name on the white board because that's how they seat you.  Best pulled pork taco's we've...More"
103,Went here while on a business training.  Menu selection was good and many different types of sauce.  The service was also very fast.
104,I love the food here - the steak is just awesome. I have not met anyone who has been here and didn't like the food. The staffs are also very warm and friendly. I would recommend anytime!
105,It did not live up to its reputation. I went early as the restaurant is very small. Even early the place was almost full.  The beer menu was average. I had the ribs. You can get 2 sauces. Pass on the corn bread as it...More
106,"Ask for a little meat when you Oder the brisket sandwich, I told them it oughta cover the bun, they did bring me some more 
Shouldn't have to ask.."
107,"As the title implies, it didn't live up to the rave reviews it got. The service was excellent, but because of the limited seating, it was one of those places you had to wait for all your party to be there before being seated. Seating...More"
108,"I'm not a big fan of bar b que and I thought that I might have other options.  Not so.  The beer was good, but I can get a beer anywhere.  I'm from Chicago, and I've had better bar b que in several Southside backyards....More"
109,If you're looking for fabulous flavor and amazing brisket then you've hit the jackpot at Black Dog!  I'm a huge fan of brisket and smoked pulled pork and  both are full of flavor.  There also a wide variety of sauces from sweet to smoky to...More
110,"We had heard people rant and rave about Black Dog, so we had to try it. We found it to be average, at best. The menu was limited, the sauces were average, and the service was lacking. We thought it was a little overpriced, too....More"
111,Ribs are dry rubbed and they are tender but not to tender they fall off the bone. Many other items on the menu from burgers to salads and there's something for everyone to enjoy a delicious meal. The only thing I see could be improved...More
112,This has to be a must-visit in Central IL. The BBQ is as good as the best places in the USA. Very friendly staff too.
113,We were in town for a concert and stopped in for some bbq and glad we did. Burnt ends appetizer was great. My wife ordered brisket and turkey and I had the turkey and hot smoked salmon. Everything was excellent. Great service and the food...More
114,Everyone in the CU area knows and loves Black Dog.  The food is amazing!  You just have to look out for the long wait to get a table...
115,"I was asking a security officer at Christi Clinic about if the old Lily Porky's bbq places were still there. A woman with two kids stops, turns and just says ""Black Dog."" We got directions and went. My wife and I got combos--pulled pork,burnt tips,...More"
116,Holy hamburgers! This place is outrageously good with all sorts of different BBQ and burger selections. Try the sweet Carolina Burger. Long lines can still move pretty fast so don't despair - this place is worth it.
117,"Good food, generous portions.  If you don't like kicky bbq sauce, suggest you stick to the 2 mild.  All meat was very tender.  Applesauce didn't say 'cinnamon' but definitely had it in there, but light enough really added great flavor.  Fries very hot and crispy....great....More"
118,"Came here for lunch. My wife had the smoked chicken salad sandwich. The smoked chicken was a nice twist for chicken salad. I had a sandwich whose name escapes me now, (and it isn't on the online menu) but which was a grilled Polish sausage,...More"
119,Black dog is by far the best BBQ I have ever had. Have eaten at number 1 BBQ in St. Louis and other BBQ hot spots. Black dog always blows them out of the water. Everything is great here. I'm a sucker for the burnt...More
120,Tasty BBQ. Burnt ends are the best but they run out quickly. Usually available from 11am and from 5pm. Decent sweet tea. Not really a romantic date place :) but fun for a couple who have been around the block a few times.
121,Wonderful BBQue!  Fast and delicious service. My husband and I both had pick 2 combo platters. We both had beef brisket. With smoked turkey and ribs. Served on baking sheets to hold everything! Casual and fun atmosphere. Very reasonably priced. Several beers on draft. Not...More
122,"Great food, beers and service. Can't beat Black Dog! Urbana location is a little small but wait times never seem too long."
123,It's hard to say what my favorite BBQ is when I eat at Black Dog.  This time I had the pulled pork and my husband had a 1/2 chicken.  Both were equally delicious! The sides are innovative and flavorful.  I think the potato salad has...More
124,"We are from out of town and this is where the locals go for a reason! The food is excellent. We both had the Saturday special, spicy bacon wrapped meatloaf sandwich with chipotle cole slaw. It was a large portion, most and very flavorful. Burnt...More"
125,"Tried the burnt ends, smoked Amish turkey and pulled pork. Very tender! Tried the mild Georgia Peach sauce (yummy), Texas sauce (DH liked), Lexington Dip (kinda thin) but tasty, Carolina Vinegar (ditto) and Milo's Mustard sauce which was too hot for me but DH liked....More"
126,"is offered when it is 'supposed to be', on Mondays of course.  And, they are as tasty as any one finds in New Orleans."
127,Had a pork rib sandwich with fries and a locally brewed IPA on tap.  Good stuff! Would go back in a heartbeat if I ever return to Urbana.  Fast and friendly service too.
128,Had a wonderful time with family before a football game at the U of I!  Will definitely go back again!
129,Went here mid afternoon on a Monday and they ran out of burnt ends already...had to get my burnt ends and went back with husband and daughter just before noon the next Friday. Was so happy to get my burnt ends-brisket combo platter! The burnt...More
130,You'll have a wait to get seated as the accommodations are not plentiful. You get to write your own party's name and number of guests down and the hostess lines them off as they are seated.  You may have to stand outside.  There are 4...More
131,"Took my daughter back to the U of I and wanted someplace different to eat. Found great reviews for Black Dog Smokehouse in Urbana and was not disappointed. Burnt ends were particularly good as were the ribs, baked beans, and chipotle coleslaw. Another nice touch…they...More"
132,"Such great BBQ. The burnt ends are so tender with dark crust - amazing. Also recommend the smoked salmon. Ribs were fall off the bone, good even without sauce. Great selection of sauces. Pit beans were a rich, smoky side I'd recommend."
133,1st time here. Expect a wait (be sure to sign in) on busy times. This was a bar now a restaurant with really good barbeque. Yum. I have been to the larger one in Champaign. I like this one...menu is the same. Enjoy which ever...More
134,"Very good BBQ, sides are also tasty.Very good service but go early as the line gets pretty long. Ribs are outstanding and pulled pork is very tasty."
135,Loved the food.  Tried the Champaign location and it was excellent.  Also the Urbana location before the new one was built.
136,"Great food and very friendly services!! You have to go on down time unless you are up for a wait! But trust me, the food is really worth the wait"
137,Love this place  Awesome food and pleasant staff  Love the new restaurant location downtown too.  But you have to be quick if you want certain food as they do run out since they are always busy.  The potato casserole is the best.  Very reasonably priced.
138,Brought here by a local. The place was packed which always bodes well.  The food selection was great and I chose the rib combo with pork and beef ribs. Their sauces were unique and delicious. Very happy with the dining experience.
139,"Tripadvisor did not disappoint.  I had the combination plate with pulled pork and beef brisket and it was delicious.  Barbeque sauces were vey good too.  The only negative I have is the noise - it is quite loud, but that wasn't really an issue for...More"
140,Black dog never goes wrong. Love their BBQ just as much as the sides! Perfect place for enjoying dining out and not spending a lot.
141,"Wonderful service, atmosphere, food and drinks! !
It revives the hole in the wall quest for a quality meal served in a small business with its own uniqueness mostly found by word of mouth."
142,"I like the laid back vibe of this place. I was finally able to try the most raved about burnt ends sandwich, which I would agree its yummy."
143,"Simply awesome, every single item. Takes a while to be seated but the wait is worth it. Advice, call in advance and ask for the food to go. Have at home with wine/beer and friends. It is a great treat."
144,"Black Dog's food and service is always exceptional. Try the ""burnt ends"". They typically come out of the smoker around 5PM. They run out so get there early. There can be a wait so plan accordingly."
145,Go early as they run out of certain items throughout the night.  My favorite thing to do is catering via black dog!!!
146,"One of the must-go places in the C-U area. Price is average and food is fantastic. If you go with a party of 2, wait time is about 5-15'. Surprisingly the line here is better than the one in downtown. 
And personally, the food here...More"
147,"Black Dog Smoke and Ale House is, hands down, the best BBQ food I have ever eaten in my life.  They make their food right here!!  They have a ton of different sauces and if you can't decide, they have flight options where you can...More"
148,Had a really nice time with my friends. The food was good and quite much. The steak and potato were awesome. Staff were also really warm and nice.
149,Came up to champaign to visit a friend and wanted to go to black dog's new location in champaign. All I can say is Wow. Walked right in and got a table (Wednesday). The place was busy and the atmosphere was good. The restaurant was...More
150,"Love the Urbana Black Dog! The waits are longer when the students are in town, but when they're not, it's a great choice. Many cocktail options. Very cozy, attentive service, and the veggie options are really tasty :)"
151,"Really delicious food, cooked by professionals and presented with a smile. The original location in Urbana was (and still is) a local attraction and a highly rated favorite. 

Yet, the impressive thing is being able to repeat\transfer such success to the Champaign location, with more...More"
152,"Love this place! We stopped for lunch and were seated immediately. Great service and delicious BBQ, vegetarian options too. Highly recommend!"
153,"We were driving across IL when asked if I could find somewhere to eat.  We didn't want to go far off the interstate, so when I googled restaurants, Black Dog Smoke House came up.  The food was Fantastic.....even better BBQ than in Memphis.  I highly...More"
154,"WOW! Best BBQ place in the area! Many options for meats, sauces, etc. Regular and sweet potato fries, which they are famous for, Onion rings, salads, drinks and alcoholic drinks. No reservations accepted but be warned: this place is so popular that the line can...More"
155,"Food was ok, service was good, not being American hard to compare against similar establishments. I wouldn't go back. If in the UK you would say it's an old man pub."
156,"A bit hard to find in the dark (yes, it's in what looks like the old train station) but SO good.  Beautiful renovation job to the station, with lots of gorgeous wood detail.  Very open feel with large bar, large tv, booths, and chairs.  We...More"
157,"The food is very good.  The staff is hyper-friendly.  Not too pricey but medium cost.  The Urbana, IL location is on the smaller side, with not much seating.  The Black Dog looks very much like a bar from the outside and does have a large...More"
158,"Went with 5 others, we all had something diff. I had burnt ends, they was good, but we got the left overs of the ends, they only have so many orders and we arrived when they only had 3 orders left.  All in all a...More"
159,"We were seated immediately at the bar. The order came out quickly and tasted great. They have a nice Beer selection. The brisket, burgers and fries are wonderful."
160,Great food...Great atmosphere..Great prices! It is our favorite place to eat at in Champaign. Their meat is fresh. They smoke it themselves.
161,"I had the pulled pork sandwich with the two mild barbecue sauces.  The waitress offered to bring me two different sauces to try, one was the peach and the other was the Texas barbecue sauce.  The peach was a little too sweet but I enjoyed...More"
162,"One doesn't expect to have good BBQ in Central Illinois. Tender, smoky beef, pork, poultry and salmon. Several choices of sauces from sweet to spicy. Sides were OK. Cornbread muffin was savory with jalapeños. Twice baked potato was served in a small dish. Slaw very...More"
163,"Although they were out of burnt ends and the wait was 20 minutes, it was worth it. The service was fast and the BBQ was very good."
164,"We love this place! Atmosphere is great, daytime you can bring children in and be comfortable doing that. Night time perfect for a couple or singles night out. The Bar b que is delicious. Many choices for sauces and the twice baked potato comes in...More"
165,Place was packed Friday night. We had a half hour wait.  Family I was with said it was well worth it.  So we went around the corner for a drink.  Came back and had some of the most fabulous bbq and smoked fish I've ever...More
166,Please go there. The food was amazing and the beer list long. We had a short wait but so worth it. We will be back soon.
167,"My son and I enjoy two beef brisket platters with amazing sides that included a smoked baked sweet potato, mac and cheese, apple sauce.  Brisket was high quality and their choice of sauces was incredible. We tried Georgia peach , hot Georgia peach, Carolina red...More"
168,There was so much hype built up around this place that we never expected to be so disappointed. We actually gave it 3 tries and it almost seemed to get worse each time. The meat was always so dried out and the beef isn't blackened--...More
169,My son lives in Manhattan and is always bragging that his restaurants are much better than ours - except for BBQ.  During every trip here he insists on a visit to Black Dog. Better food for half the price. A great selection of beer and...More
170,"If you go during peak dinner hours, expect a wait but the food is always worth it!  I am a pescatarian so I get the salmon or catfish but my husband has had pretty much everything else on the menu. They have a good diversity...More"
171,"Black Dog Smoke and Ale House is small, has long waits for a table and has an old-world feel to it; every second you wait is rewarded with awesome food and service. The server was very attentive, the food is not only great BBQ but...More"
172,This is a place that you may have to stand in line to get seated but it is worth the wait.  They have opened another restaurant so the wait may not be quite as bad.  Our family has eaten at this restaurant many time and...More
173,"This food was fantastic. I had the ribs and pulled pork platter, with fries.  They were smoked to perfection and the rubs were delicious. My daughter had the BBQ nachos and I of course tried them.  The chips were unlike any chips I had ever...More"
174,"This is usually a crowded place, and that's part of the fun. Every dinner combo is excellent. Pulled pork, ribs, burnt ends are all great."
175,Good place for smoked BBQ. Can get crowded at times so be prepared to wait for a table at busy times.
176,Been here several times EVERYTHING is delicious try the new location in downtown Champaign though the ambience is much better and sitting is faster due to the larger restaurant. The burnt ends are so good and the pulled pork is also good.  Try their green...More
177,"It's very hard to eat barbequed or smoked anything anywhere else after eating at the Black Dog. Probably the only thing I haven't liked has been the Ghost Peppers wrapped in bacon (because, after all, I want to live and they are so HOT!) Their...More"
178,Excellent food! A good beer selection. The place is awesome. It really feels like a train station. Wonderful place
179,Great barbecue & sides!  A good variety of barbecue.  Burnt ribs are almost always sold out though.  Have the cheesy potatoes!
180,"My son and I stopped in about 1/2 hour before closing time, so it was almost empty. We were happy that the staff welcomed us in and served us patiently. We both ordered the pull rib sandwich and were very pleased with the flavor of...More"
181,"We were spending the day in Champaign and had heard good things about this place, do we thought we would check it out.  When you arrive, it reminds me of a small town tavern on the outside.  Don't let that deceive you.  
Yes, it is...More"
182,"The burnt end is not a real burnt end. Sauces are very different, that's fine because I don't want sauce. The beef ribs are the less meaty version, I prefer the beef short rib.  I liked the wings & cornbread.  I really liked the drink...More"
183,"The sauces are definitely the star of the show here, but their slow-smoked meats have never failed to melt in my mouth. I'm also a fan of the cornbread - an ideal blend of sweet and savory and smoky. I will say that while still...More"
